127.0.0.1, 2013-11-23 19:32:15, GET, /, HTTP/1.1, 303, 0.010000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.509000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:16, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-11-23 19:32:18, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:20, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.049000
127.0.0.1, 2013-11-23 19:32:34, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/default/index, HTTP/1.1, 200, 0.257000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/_2.7.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:32:51, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-11-23 19:32:57, POST, /admin/default/index, HTTP/1.1, 303, 0.191000
127.0.0.1, 2013-11-23 19:32:57, GET, /admin/default/site, HTTP/1.1, 200, 0.422000
127.0.0.1, 2013-11-23 19:32:58, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:32:58, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-11-23 19:32:58, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2013-11-23 19:32:58, POST, /admin/default/check_version, HTTP/1.1, 200, 0.446000
127.0.0.1, 2013-11-23 19:33:08, GET, /admin/default/compile_app/examples, HTTP/1.1, 303, 1.119000
127.0.0.1, 2013-11-23 19:33:08, GET, /admin/default/site, HTTP/1.1, 200, 0.087000
127.0.0.1, 2013-11-23 19:33:31, POST, /admin/default/site, HTTP/1.1, 303, 0.726000
127.0.0.1, 2013-11-23 19:33:32, GET, /admin/default/design/twm, HTTP/1.1, 200, 0.773000
127.0.0.1, 2013-11-23 19:33:32, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:32, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:32, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:32, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/appadmin/graph_model, HTTP/1.1, 200, 0.316000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/web2py.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2013-11-23 19:33:38, GET, /twm/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.008000
